flow_id,iat,packet_length,direction,icmp_type
264,0.004935026168823242,110,1,0
265,0.0,110,0,8
265,0.00483393669128418,110,1,0
266,0.0,110,0,8
266,0.0048065185546875,110,1,0
267,0.0,110,0,8
267,0.004721879959106445,110,1,0
268,0.0,110,0,8
268,0.004822969436645508,110,1,0
269,0.0,110,0,8
269,0.004824399948120117,110,1,0
270,0.0,110,0,8
270,0.0047779083251953125,110,1,0
271,0.0,110,0,8
271,0.0048444271087646484,110,1,0
272,0.0,110,0,8
272,0.0047740936279296875,110,1,0
273,0.0,110,0,8
273,0.00565791130065918,110,1,0
274,0.0,110,0,8
274,0.00482940673828125,110,1,0
275,0.0,110,0,8
275,0.004812479019165039,110,1,0
276,0.0,110,0,8
276,0.00493311882019043,110,1,0
277,0.0,110,0,8
277,0.004903554916381836,110,1,0
278,0.0,110,0,8
278,0.004893064498901367,110,1,0
279,0.0,110,0,8
279,0.004904747009277344,110,1,0
280,0.0,110,0,8
280,0.004909038543701172,110,1,0
281,0.0,110,0,8
281,0.004889726638793945,110,1,0
282,0.0,110,0,8
282,0.0049419403076171875,110,1,0
283,0.0,110,0,8
283,0.005083560943603516,110,1,0
284,0.0,110,0,8
284,0.0048351287841796875,110,1,0
285,0.0,110,0,8
285,0.005130290985107422,110,1,0
286,0.0,110,0,8
286,0.0049974918365478516,110,1,0
287,0.0,110,0,8
287,0.004770994186401367,110,1,0
288,0.0,110,0,8
288,0.005539655685424805,110,1,0
289,0.0,110,0,8
289,0.005410671234130859,110,1,0
290,0.0,110,0,8
290,0.0048830509185791016,110,1,0
291,0.0,110,0,8
291,0.0049097537994384766,110,1,0
292,0.0,110,0,8
292,0.004883766174316406,110,1,0
293,0.0,110,0,8
293,0.004891157150268555,110,1,0
294,0.0,110,0,8
294,0.0049304962158203125,110,1,0
295,0.0,110,0,8
295,0.004792451858520508,110,1,0
296,0.0,110,0,8
296,0.004929780960083008,110,1,0
297,0.0,110,0,8
297,0.004874467849731445,110,1,0
298,0.0,110,0,8
298,0.004921674728393555,110,1,0
299,0.0,110,0,8
299,0.005114316940307617,110,1,0
300,0.0,110,0,8
300,0.004944801330566406,110,1,0
301,0.0,110,0,8
301,0.004747152328491211,110,1,0
302,0.0,110,0,8
302,0.004736423492431641,110,1,0
303,0.0,110,0,8
303,0.004729509353637695,110,1,0
304,0.0,110,0,8
304,0.004797697067260742,110,1,0
305,0.0,110,0,8
305,0.0046787261962890625,110,1,0
306,0.0,110,0,8
306,0.0049245357513427734,110,1,0
307,0.0,110,0,8
307,0.004843711853027344,110,1,0
308,0.0,110,0,8
308,0.00484466552734375,110,1,0
309,0.0,110,0,8
309,0.004787445068359375,110,1,0
310,0.0,110,0,8
310,0.004912137985229492,110,1,0
311,0.0,110,0,8
311,0.011044740676879883,110,1,0
312,0.0,110,0,8
312,0.004833221435546875,110,1,0
313,0.0,110,0,8
313,0.0058176517486572266,110,1,0
314,0.0,110,0,8
314,0.004820823669433594,110,1,0
315,0.0,110,0,8
315,0.004830360412597656,110,1,0
316,0.0,110,0,8
316,0.004819154739379883,110,1,0
317,0.0,110,0,8
317,0.004733562469482422,110,1,0
318,0.0,110,0,8
318,0.0048122406005859375,110,1,0
319,0.0,110,0,8
319,0.004754543304443359,110,1,0
320,0.0,110,0,8
320,0.00482487678527832,110,1,0
321,0.0,110,0,8
321,0.0047986507415771484,110,1,0
322,0.0,110,0,8
322,0.004876852035522461,110,1,0
323,0.0,110,0,8
323,0.004689931869506836,110,1,0
324,0.0,110,0,8
324,0.004731416702270508,110,1,0
325,0.0,110,0,8
325,0.004913806915283203,110,1,0
326,0.0,110,0,8
326,0.00540471076965332,110,1,0
327,0.0,110,0,8
327,0.004740476608276367,110,1,0
328,0.0,110,0,8
328,0.0047910213470458984,110,1,0
329,0.0,110,0,8
329,0.004732847213745117,110,1,0
330,0.0,110,0,8
330,0.004724740982055664,110,1,0
331,0.0,110,0,8
331,0.0048639774322509766,110,1,0
332,0.0,110,0,8
332,0.004645586013793945,110,1,0
333,0.0,110,0,8
333,0.004756450653076172,110,1,0
334,0.0,110,0,8
334,0.0047986507415771484,110,1,0
335,0.0,110,0,8
335,0.0048906803131103516,110,1,0
336,0.0,110,0,8
336,0.005149126052856445,110,1,0
337,0.0,110,0,8
337,0.004941701889038086,110,1,0
338,0.0,110,0,8
338,0.004872322082519531,110,1,0
339,0.0,110,0,8
339,0.004990816116333008,110,1,0
340,0.0,110,0,8
340,0.005904197692871094,110,1,0
341,0.0,110,0,8
341,0.0049169063568115234,110,1,0
342,0.0,110,0,8
342,0.005016803741455078,110,1,0
343,0.0,110,0,8
343,0.004953861236572266,110,1,0
344,0.0,110,0,8
344,0.004942417144775391,110,1,0
345,0.0,110,0,8
345,0.005105495452880859,110,1,0
346,0.0,110,0,8
346,0.0049097537994384766,110,1,0
347,0.0,110,0,8
347,0.009828805923461914,110,1,0
348,0.0,110,0,8
348,0.005093097686767578,110,1,0
349,0.0,110,0,8
349,0.004979610443115234,110,1,0
350,0.0,110,0,8
350,0.005103111267089844,110,1,0
351,0.0,110,0,8
351,0.0050852298736572266,110,1,0
352,0.0,110,0,8
352,0.00540614128112793,110,1,0
353,0.0,110,0,8
353,0.004961729049682617,110,1,0
354,0.0,110,0,8
